Robin_Williams;Matt_Damon;Minnie_Driver
Eric_Idle;Michael_Palin;Terry_Jones
Tom_Hanks;John_Ratzenberger;Don_Rickles
Harrison_Ford;Julian_Glover;Alison_Doody
Brigitte_Helm;Gustav_Fröhlich;Rudolf_Klein-Rogge
Matt_Damon;George_W._Bush;Barney_Frank
Keir_Dullea;Gary_Lockwood;Glenn_Beck
Robert_De_Niro;Albert_Brooks;Peter_Boyle
John_Ratzenberger;Delroy_Lindo;Jess_Harnell
Thomas_Kretschmann;Bruno_Ganz;Alexandra_Maria_Lara
Clint_Eastwood;Morgan_Freeman;Frances_Fisher
Jason_Statham;Brad_Pitt;Jason_Flemyng
Joan_Allen;Jacob_Tremblay;Cas_Anvar
Michael_Fassbender;Brad_Pitt;Christoph_Waltz
Tom_Hanks;John_Ratzenberger;Jim_Varney
Kevin_Spacey;Matt_McCoy;Paul_Guilfoyle
Amy_Poehler;Mindy_Kaling;Phyllis_Smith
Tom_Hardy;Frank_Grillo;Kevin_Dunn
Laurence_Olivier;Joan_Fontaine;George_Sanders
Ricardo_Darín;Soledad_Villamil;Guillermo_Francella
Leonardo_DiCaprio;Matthew_McConaughey;Jon_Favreau
Adam_Goldberg;Austin_Pendleton;Judd_Hirsch
Claudette_Colbert;Alan_Hale;Walter_Connolly
Hattie_McDaniel;George_Reeves;Thomas_Mitchell
Anthony_Hopkins;Anne_Bancroft;Dexter_Fletcher
Natalie_Portman;Eddie_Marsan;Rupert_Graves
Clint_Eastwood;Dreama_Walker;Ahney_Her
Robert_De_Niro;Don_Rickles;Kevin_Pollak
Jason_Statham;Jason_Flemyng;Dexter_Fletcher
Marlon_Brando;Karl_Malden;Rod_Steiger
Robert_Downey_Jr.;Scarlett_Johansson;Chris_Evans
Gerard_Butler;America_Ferrera;Craig_Ferguson
Christian_Bale;Blythe_Danner;Jean_Simmons
Alexander_Gould;Stephen_Root;Brad_Garrett
Sarah_Michelle_Gellar;Alyson_Hannigan;Emma_Caulfield
Kristen_Stewart;William_Hurt;Hal_Holbrook
